#{"t_start": 1744979297.9210398, "env_id": "None"}
r,l,t
0.0,1,15.687582
0.0,1,15.717584
0.0,1,15.753584
0.0,1,15.779623
0.0,1,15.80659
0.0,1,15.834583
0.0,1,15.863582
0.0,1,15.895605
0.0,1,15.964588
0.0,1,16.008588
0.0,1,16.036584
0.0,1,16.064584
0.0,1,16.095585
0.0,1,16.12261
0.0,1,16.150589
0.0,1,16.176611
0.0,1,16.209588
0.0,1,16.24461
0.0,1,16.279585
0.0,1,16.31062
0.0,1,16.339589
0.0,1,16.366591
0.0,1,16.394587
0.0,1,16.425586
0.0,1,16.453605
0.0,1,16.483586
0.0,1,16.512587
0.0,1,16.546592
0.0,1,16.573621
0.0,1,16.60259
0.0,1,16.629591
0.0,1,16.658593
0.0,1,16.687591
0.0,1,16.71461
0.0,1,16.74462
0.0,1,16.776587
0.0,1,16.804623
0.0,1,16.837588
0.0,1,16.867598
0.0,1,16.895613
0.0,1,16.92561
0.0,1,16.954589
0.0,1,16.985642
0.0,1,17.01359
0.0,1,17.040617
0.0,1,17.068601
0.0,1,17.09959
0.0,1,17.13259
0.0,1,17.160592
0.0,1,17.189595
0.0,1,17.216595
0.0,1,17.243618
0.0,1,17.273609
0.0,1,17.309591
0.0,1,17.342595
0.0,1,17.371616
0.0,1,17.399593
0.0,1,17.433595
0.0,1,17.461596
0.0,1,17.492595
0.0,1,17.52462
0.0,1,17.553599
0.0,1,17.633596
0.0,1,17.689593
0.0,1,17.716596
0.0,1,17.749593
0.0,1,17.776596
0.0,1,17.808595
0.0,1,17.836596
0.0,1,17.869594
0.0,1,17.898629
0.0,1,17.928612
0.0,1,17.962596
0.0,1,17.99063
0.0,1,18.020601
0.0,1,18.04963
0.0,1,18.083612
0.0,1,18.116598
0.0,1,18.144596
0.0,1,18.173599
0.0,1,18.204634
0.0,1,18.235601
0.0,1,18.264623
0.0,1,18.296597
0.0,1,18.325599
0.0,1,18.354616
0.0,1,18.384603
0.0,1,18.418604
0.0,1,18.447598
0.0,1,18.475615
0.0,1,18.503598
0.0,1,18.534599
0.0,1,18.564603
0.0,1,18.592598
0.0,1,18.623634
0.0,1,18.657603
0.0,1,18.686599
0.0,1,18.720636
0.0,1,18.7536
0.0,1,18.783602
0.0,1,18.812624
0.0,1,18.840626
0.0,1,18.874604
0.0,1,18.903601
0.0,1,18.932604
0.0,1,18.963604
0.0,1,18.992628
0.0,1,19.024629
0.0,1,19.053606
0.0,1,19.084616
0.0,1,19.11263
0.0,1,19.139606
0.0,1,19.167614
0.0,1,19.198604
0.0,1,19.225602
0.0,1,19.254603
0.0,1,19.282604
0.0,1,19.320628
0.0,1,19.355628
0.0,1,19.433605
0.0,1,19.471637
0.0,1,19.503604
0.0,1,19.533603
0.0,1,19.564605
0.0,1,19.591605
0.0,1,19.620625
0.0,1,19.650606
0.0,1,19.686612
0.0,1,19.712607
0.0,1,19.741608
0.0,1,19.77064
0.0,1,19.800619
0.0,1,19.827612
0.0,1,19.855606
0.0,1,19.885611
0.0,1,19.91561
0.0,1,19.944614
0.0,1,19.975623
0.0,1,20.011608
0.0,1,20.041607
0.0,1,20.077628
0.0,1,20.114643
0.0,1,20.145608
0.0,1,20.176625
0.0,1,20.204608
0.0,1,20.234608
0.0,1,20.262613
0.0,1,20.295611
0.0,1,20.328616
0.0,1,20.35663
0.0,1,20.387608
0.0,1,20.418636
0.0,1,20.451609
0.0,1,20.48061
0.0,1,20.506609
0.0,1,20.536644
0.0,1,20.56561
0.0,1,20.597623
0.0,1,20.62361
0.0,1,20.653636
0.0,1,20.683611
0.0,1,20.713612
0.0,1,20.743643
0.0,1,20.774613
0.0,1,20.804612
0.0,1,20.834615
0.0,1,20.863612
0.0,1,20.902617
0.0,1,20.932612
0.0,1,20.962613
0.0,1,20.991614
0.0,1,21.054615
0.0,1,21.107631
0.0,1,21.138614
0.0,1,21.169614
0.0,1,21.199615
0.0,1,21.23162
0.0,1,21.267622
0.0,1,21.297618
0.0,1,21.331615
0.0,1,21.358619
0.0,1,21.387619
0.0,1,21.415639
0.0,1,21.450619
0.0,1,21.47862
0.0,1,21.506616
0.0,1,21.541617
